"","X.","Player","Club","Po","GP","YC","YCG","RC","RCG","SC","C1H","C2H","F","OF","season"
"167","17th","Václav Procházka","PLZ","D",27,4,"0,1",1,"0,0",850,3,2,0,0,2013
"168","18th","Jakub Mareš","MBL","F",28,6,"0,2",1,"0,0",539,3,4,0,0,2013
"169","19th","Antonín Rosa","","D",20,9,"0,5",1,"0,1",377,4,6,0,0,2013
"170","20th","Martin Šlapák","","F",24,5,"0,2",1,"0,0",522,3,3,0,0,2013
"171","21st","Martin Fillo","MBL","D",22,2,"0,1",1,"0,0",312,1,2,0,0,2013
"172","22nd","Lukáš Opiela","","M",9,2,"0,2",1,"0,1",253,2,1,0,0,2013
"173","23rd","Tomáš Frejlach","","M",8,4,"0,5",1,"0,1",15,2,3,0,0,2013
"174","24th","Michal Vepřek","OLO","D",25,8,"0,3",1,"0,0",462,4,5,0,0,2013
"175","25th","Jakub Řezníček","CEB","F",23,6,"0,3",1,"0,0",394,4,3,0,0,2013
"176","26th","Jan Šisler","HKR","M",26,8,"0,3",1,"0,0",490,3,6,0,0,2013
"177","27th","Daniel Silva Rossi","FKJ","M",26,1,"0,0",1,"0,0",1017,0,2,0,0,2013
"178","28th","Admir Ljevakovič","","M",21,12,"0,6",1,"0,0",349,6,7,0,0,2013
"179","29th","David Jablonský","","D",17,4,"0,2",1,"0,1",625,2,3,0,0,2013
"180","30th","Pavel Dreksa","OLO","D",23,4,"0,2",1,"0,0",973,3,2,0,0,2013
"181","31st","Ján Greguš","","M",7,2,"0,3",1,"0,1",146,2,1,0,0,2013
"182","32nd","Martin Sus","","M",20,4,"0,2",1,"0,1",532,3,2,0,0,2013
"183","33rd","Petr Reinberk","SLO","D",21,2,"0,1",1,"0,0",989,1,2,0,0,2013
"184","34th","Jiří Fleišman","LIB","D",24,4,"0,2",1,"0,0",525,1,4,0,0,2013
"185","35th","Petr Malý","","M",24,7,"0,3",1,"0,0",797,3,5,0,0,2013
"186","36th","Martin Juhar","","D",26,6,"0,2",1,"0,0",556,2,5,0,0,2013
"187","37th","Marián Čišovský","","D",23,3,"0,1",1,"0,0",624,1,3,0,0,2013
"188","38th","Tomáš Holeš","HKR","M",24,1,"0,0",1,"0,0",1192,0,2,0,0,2013
"189","39th","Haris Harba","HKR","F",27,5,"0,2",1,"0,0",991,2,4,0,0,2013
"190","40th","Michal Škoda","BRN","F",18,8,"0,4",1,"0,1",328,4,5,0,0,2013
"191","41st","Mašán Azíz","","M",13,4,"0,3",1,"0,1",687,2,3,0,0,2013
"192","42nd","Isaac Sackey","LIB","M",8,3,"0,4",1,"0,1",90,1,3,0,0,2013
"193","43rd","Stanislav Vlček","","F",4,0,"0,0",0,"0,0",33,0,0,0,0,2013
"194","44th","Pavel Horváth","","M",28,3,"0,1",0,"0,0",1463,2,1,0,0,2013
"195","45th","Jiří Štajner","","F",22,3,"0,1",0,"0,0",1052,1,2,0,0,2013
"196","46th","Lukáš Jarolím","","M",10,2,"0,2",0,"0,0",331,2,0,0,0,2013
"197","47th","Martin Lukeš","","M",23,1,"0,0",0,"0,0",1166,0,1,0,0,2013
"198","48th","Rudolf Otepka","","M",14,3,"0,2",0,"0,0",682,1,2,0,0,2013
"199","49th","Jiří Jarošík","","D",21,2,"0,1",0,"0,0",1250,0,2,0,0,2013
